#cue,target,fsg,bsg,qfr,tfr,jcn,jcn_sensed
class,room,0.047,0.039,207,383,6.371902,7.067424254
class,schedule,0.014,0.221,207,36,13.802241,16.67308088
class,school,0.203,0.031,207,492,5.79069,6.142509779
class,student,0.081,0.01,207,131,14.237713,15.91900382
class,study,0.034,0.04,207,246,10.714668,17.27896844
class,style,0.02,0.056,207,98,1.786432,1.797694205
class,teacher,0.061,0.068,207,80,15.60866,17.05666179
class,time,0.027,0,207,1599,10.303436,15.88987677
class,work,0.047,0,207,760,6.792002,15.00039489
claw,animal,0.048,0,1,68,13.927383,16.33100654
claw,bird,0.027,0,1,31,14.654591,18.12777325
claw,cat,0.177,0,1,23,13.736264,21.10556782
claw,crab,0.143,0.034,1,2,12.952361,24.79444727
claw,dog,0.014,0,1,75,12.594458,12.35242742
claw,foot,0.034,0,1,70,5.424965,21.53884196
claw,hand,0.041,0,1,431,5.934789,8.28017284
claw,lobster,0.041,0.038,1,1,21.432552,23.94714941
claw,nail,0.061,0,1,6,2.469172,2.412399959
claw,paw,0.041,0.048,1,3,5.920242,5.83926641
claw,tiger,0.02,0,1,7,20.786131,23.3281102
clay,art,0.038,0,100,208,11.927481,17.41291072
clay,baseball,0.023,0,100,57,17.140604,18.73584342
clay,brown,0.015,0,100,176,13.989144,17.98035524
clay,ceramic,0.023,0.029,100,9,17.319316,18.79193289
clay,dirt,0.038,0,100,43,1.526862,1.328061949
clay,earth,0.015,0,100,150,1.960615,1.875724849
clay,figure,0.015,0,100,209,7.037694,7.043725391
clay,mold,0.2,0.034,100,45,4.037028,3.568771638
clay,orange,0.015,0,100,23,10.280451,18.95445182
clay,pot,0.077,0,100,33,13.580683,15.2484048
clay,red,0.023,0,100,197,14.016399,16.1116548
clay,rock,0.015,0,100,75,8.038844,7.962138641
clay,rubber,0.015,0,100,15,10.365595,19.87446635
clay,sand,0.015,0,100,28,4.447449,3.89088168
clay,sculpture,0.062,0.041,100,11,14.971629,16.33300173
clay,tennis,0.023,0,100,15,20.728826,20.5782023
clay,vase,0.023,0,100,4,18.489415,19.69865417
cleaner,carpet,0.02,0.055,9,13,17.306428,19.0308248
cleaner,clothes,0.02,0,9,89,12.769598,15.52347475
cleaner,comet,0.027,0,9,2,19.608997,18.81931161
cleaner,detergent,0.041,0,9,25,0.896088,0.984498982
cleaner,dirt,0.02,0,9,43,13.275276,19.62426597
cleaner,fluid,0.02,0,9,21,10.215548,13.56443601
cleaner,laundry,0.014,0,9,5,16.552455,19.49169531
cleaner,liquid,0.014,0,9,48,12.296493,13.57954457
cleaner,maid,0.061,0,9,31,9.837775,9.844532588
cleaner,rug,0.014,0,9,13,17.306428,19.0308248
cleaner,scrub,0.014,0,9,9,20.394428,21.65656073
cleaner,soap,0.041,0,9,22,0.96508,0.984498982
cleaner,toilet,0.014,0,9,13,13.139051,19.44282897
cleaner,vacuum,0.041,0.222,9,20,17.561113,19.90713458
cleaner,window,0.027,0,9,119,15.729948,15.24043306
clerk,bank,0.016,0,34,83,16.883621,18.18325778
clerk,cashier,0.04,0.088,34,0,18.185455,17.97269051
clerk,counter,0.016,0.013,34,31,15.976993,18.45602143
clerk,court,0.024,0,34,230,14.561128,18.93358488
clerk,desk,0.048,0.021,34,65,17.323217,17.17082319
clerk,file,0.04,0,34,81,17.93336,17.86397037
clerk,office,0.04,0.014,34,255,16.688362,17.05327201
clerk,person,0.032,0,34,175,7.884694,8.267896786
clerk,receptionist,0.016,0.013,34,5,13.290449,13.66510842
clerk,register,0.04,0,34,26,16.907314,19.10401165
clerk,sale,0.041,0,34,44,19.751916,19.7381253
clerk,salesman,0.016,0,34,12,1.844916,1.604133472
clerk,secretary,0.087,0.027,34,191,10.395551,14.46327955
clerk,store,0.159,0,34,74,16.444123,16.65202939
clerk,teller,0.024,0,34,4,13.210563,13.30843348
clerk,typist,0.056,0.013,34,0,10.385942,10.15178436
clerk,worker,0.024,0,34,30,5.528466,15.60681768
click,bang,0.02,0,2,7,8.877053,9.86599395
click,clock,0.26,0,2,20,12.16545,23.51343726
click,gun,0.027,0,2,118,9.086118,10.89899376
click,lock,0.02,0,2,23,6.351142,6.677442553
click,mouse,0.027,0,2,10,13.323918,24.55798232
click,noise,0.087,0,2,37,7.374142,7.320178547
click,pen,0.047,0,2,18,14.034694,23.91890236
click,phone,0.02,0,2,54,4.965835,21.73098018
click,sound,0.033,0,2,204,4.873033,6.245331271
click,tick,0.04,0,2,3,0,12.15419031
cliff,drop,0.028,0,11,59,0,4.77E-09
cliff,edge,0.104,0.182,11,78,16.240094,18.18704662
cliff,hill,0.035,0,11,72,7.980782,7.575271008
cliff,mountain,0.194,0,11,33,8.098609,7.588174413
cliff,rock,0.028,0,11,75,9.912866,17.74861739
climate,atmosphere,0.016,0.014,26,79,8.578537,8.65517786
climate,florida,0.016,0,26,20,21.839306,21.68590556
climate,heat,0.032,0,26,97,13.408241,13.61870302
climate,rain,0.016,0,26,70,20.009204,20.47759435
climate,temperature,0.071,0.04,26,135,18.644889,19.42559527
climate,weather,0.381,0.198,26,69,17.317517,18.06392596
climax,book,0.014,0,14,193,14.310451,17.02541918
climax,end,0.041,0,14,410,2.340835,7.307996467
climax,height,0.061,0,14,35,6.24516,6.361271774
climax,maximum,0.02,0,14,79,17.205781,21.70940769
climax,movie,0.034,0,14,29,11.98308,16.31376613
climax,peak,0.108,0.048,14,16,6.24516,6.361271774
climax,plot,0.02,0,14,37,15.494747,16.90127075
climax,sex,0.128,0,14,84,16.204304,16.05897454
climax,story,0.02,0,14,153,14.182788,16.18553792
climax,temperature,0.014,0,14,135,12.293319,17.84240757
climax,top,0.041,0,14,204,0.08769,6.361271774
climber,hiker,0.024,0.014,0,0,14.191443,13.52938567
climber,mountain,0.603,0.031,0,33,20.247014,19.60835912
climber,person,0.016,0,0,175,10.406044,21.34544232
climber,rock,0.024,0,0,75,19.608997,17.63485866
climber,tree,0.04,0,0,59,10.410594,9.974411125
clinic,doctor,0.3,0,3,100,17.59603,18.09423139
clinic,drug,0.02,0,3,24,17.298345,16.63418303
clinic,health,0.087,0,3,105,22.866551,22.41482497
clinic,hospital,0.1,0.041,3,110,3.271855,3.651564682
clinic,medicine,0.033,0,3,30,18.91897,18.33785206
clinic,nurse,0.08,0,3,17,21.066824,21.38721518
clinic,office,0.013,0,3,255,11.324387,13.04914408
clippers,bush,0.013,0,1,14,18.319716,22.77350954
clippers,hair,0.221,0,1,148,18.749766,19.34949749
clippers,haircut,0.054,0,1,2,24.559766,27.03241767
clippers,scissors,0.221,0,1,1,1.734602,3.277144733
cloak,cape,0.053,0.013,3,20,0.442454,0.544111601
cloak,coat,0.118,0,3,43,1.474683,1.495999768
cloak,dagger,0.441,0.03,3,0,18.615387,22.4474502
cloak,jacket,0.02,0,3,33,2.373498,2.380464069
cloak,robe,0.013,0,3,6,7.614986,7.628718357
cloak,scarf,0.013,0,3,4,7.382362,7.082174651
clock,alarm,0.079,0.388,20,16,0.988611,1.155770703
clock,radio,0.012,0,20,120,10.854228,13.89997756
clock,tick,0.073,0.122,20,3,17.158839,23.17696502
clock,time,0.652,0.372,20,1599,0,17.17625761
clock,work,0.03,0,20,760,9.593338,11.98305212
clog,fog,0.013,0,2,25,18.789929,24.68104242
clog,hair,0.013,0,2,148,18.238856,18.94403238
clog,pipe,0.013,0,2,20,16.915322,16.68554785
clog,plug,0.02,0,2,23,10.04702,9.533602323
clog,shoe,0.113,0,2,14,5.078514,5.178986632
clorox,detergent,0.02,0.014,0,25,14.281226,24.15845851
clorox,white,0.04,0,0,365,18.794873,23.17168796
closet,case,0.02,0,16,362,10.588734,16.0969833
closet,clothes,0.483,0,16,89,11.073707,14.31435831
closet,door,0.082,0,16,312,8.927296,8.293993535
closet,drawer,0.02,0.024,16,8,4.806098,4.907592227
closet,hanger,0.061,0.076,16,1,15.570261,18.02443997
closet,room,0.054,0.024,16,383,5.161477,4.922295474
closet,space,0.041,0,16,184,14.211813,16.2748237
closet,storage,0.034,0.069,16,41,11.971747,20.83928861
closet,store,0.02,0,16,74,10.54174,14.43505935
cloth,clothes,0.182,0,40,89,8.267538,11.39224999
cloth,coat,0.012,0,40,43,9.789429,9.624437532
cloth,cotton,0.03,0,40,38,4.051568,4.171380879
cloth,dish,0.012,0,40,16,11.240881,11.18152896
cloth,fabric,0.115,0.381,40,15,0,4.77E-09
cloth,material,0.206,0.15,40,174,0,4.77E-09
cloth,pants,0.03,0,40,9,10.488117,10.4372135
cloth,rag,0.03,0.245,40,10,4.558114,4.450965741
cloth,shirt,0.018,0,40,27,12.743724,12.62969873
cloth,silk,0.03,0.047,40,12,5.189387,5.320003588
cloth,table,0.012,0.026,40,198,9.83642,9.779115221
cloth,towel,0.018,0.068,40,6,5.112422,4.74945873
cloth,warmth,0.012,0,40,28,16.434934,17.82570889
cloth,world,0.018,0,40,787,11.753229,13.23742199
clothes,body,0.02,0,89,276,10.461236,15.33088164
clothes,color,0.027,0,89,141,12.568656,18.75640472
clothes,cotton,0.013,0.053,89,38,12.319064,17.87595681
clothes,dress,0.027,0.055,89,67,2.426542,4.77E-09
clothes,fashion,0.067,0.378,89,69,13.118195,18.39664177
clothes,hanger,0.054,0.521,89,1,14.277963,17.07997836
clothes,line,0.013,0.11,89,298,3.699552,15.08271741
clothes,material,0.013,0.095,89,174,8.267538,11.39224999
clothes,pants,0.034,0.033,89,9,2.220515,5.693436183
clothes,shirt,0.067,0.058,89,27,4.476135,7.885921415
clothes,shoe,0.047,0,89,14,4.826651,8.028027447
clothes,shorts,0.027,0.034,89,29,4.69927,8.239561455
clothes,store,0.013,0.047,89,74,9.982531,13.05462667
clothes,style,0.034,0.051,89,98,11.277644,19.22024184
clothes,wardrobe,0.027,0.78,89,9,6.085575,9.538844439
clothes,washer,0.013,0.072,89,2,6.742134,20.02771902
cloud,cotton,0.016,0,28,38,20.360379,20.96863247
cloud,nine,0.063,0,28,81,18.543243,19.75923834
cloud,rain,0.307,0.032,28,70,6.616382,6.382171655
cloud,sky,0.346,0.228,28,58,18.702775,19.28368806
cloud,white,0.079,0,28,365,18.118568,18.84372855
clove,cigarette,0.068,0,1,25,18.32643,21.31491805
clove,flower,0.014,0,1,23,10.108566,18.4841044
clove,four,0.014,0,1,359,21.717413,21.2302993
clove,garlic,0.129,0.048,1,4,0.693147,0.559615788
clove,green,0.014,0,1,116,18.058039,21.43871227
clove,herb,0.02,0,1,7,6.931016,6.752063412
clove,leaf,0.075,0,1,12,9.707418,15.08954262
clove,luck,0.02,0,1,47,20.948989,22.23662713
clove,plant,0.02,0,1,125,7.934682,16.14658805
clove,smoke,0.027,0,1,41,17.935289,23.73658081
clove,spice,0.238,0,1,4,2.104134,1.945910149
clown,actor,0.012,0,3,24,5.474383,5.59807171
clown,circus,0.237,0.594,3,7,20.532616,22.21820286
clown,fun,0.018,0,3,44,19.34685,21.15959591
clown,joker,0.012,0.087,3,1,8.906544,9.087752817
clown,paint,0.024,0,3,37,16.533845,18.52450959
club,activity,0.014,0,145,116,11.260881,10.98477386
club,bar,0.014,0.014,145,82,4.828305,15.65267129
club,bat,0.027,0,145,18,1.341175,1.370790175
club,country,0.014,0.014,145,324,6.192756,9.262485979
club,fraternity,0.027,0,145,6,4.768081,4.683287965
club,gang,0.021,0,145,22,3.893869,3.944308609
club,golf,0.041,0.155,145,34,17.674715,19.23625687
club,group,0.075,0,145,390,3.533769,17.86833069
club,house,0.068,0,145,591,5.274234,6.193253479
club,member,0.021,0.264,145,137,8.136961,8.296555077
club,night,0.021,0,145,411,16.049819,17.41222185
club,organization,0.055,0.122,145,127,3.808407,3.823753875
club,paradise,0.014,0,145,12,17.616489,18.30406101
club,people,0.014,0,145,847,6.501486,8.728715237
club,sandwich,0.021,0,145,10,13.188436,16.28070412
club,sorority,0.014,0,145,1,6.234414,5.664117218
clue,answer,0.013,0,15,152,11.468548,11.53071201
clue,game,0.336,0,15,123,15.171744,15.83857895
clue,hint,0.161,0.344,15,9,0,4.77E-09
clue,idea,0.04,0,15,195,12.691,16.98520864
clue,mystery,0.094,0.029,15,39,14.145472,14.19820727
clue,puzzle,0.034,0,15,10,15.778097,15.75155572
clue,question,0.013,0,15,257,10.549636,14.03631852
clue,word,0.013,0,15,274,10.419163,11.92489256
coach,basketball,0.016,0,24,9,14.569614,16.07797077
coach,carriage,0.024,0.036,24,11,0,4.77E-09
coach,football,0.071,0,24,36,13.641634,20.00574011
coach,head,0.016,0,24,424,4.884911,12.71234207
coach,horse,0.024,0,24,117,11.550679,13.38931723
coach,player,0.024,0,24,51,10.56792,12.30711441
coach,soccer,0.016,0,24,3,22.399427,22.13457787
coach,sport,0.047,0,24,17,14.425227,14.83289913
coach,stage,0.039,0.014,24,174,0.117783,0.118716307
coach,teacher,0.031,0,24,80,1.941363,2.096653671
coach,team,0.283,0.016,24,83,13.105301,19.24053335
coach,train,0.024,0,24,82,0,3.34766225
coal,charcoal,0.019,0,32,14,5.190653,5.497781126
coal,diamond,0.026,0,32,8,16.757717,14.42049299
coal,energy,0.013,0,32,100,17.086715,16.80970396
coal,fire,0.083,0,32,187,9.22722,18.65312697
coal,fuel,0.109,0,32,17,1.794073,1.89955604
coal,heat,0.032,0,32,97,10.075871,19.22631484
coal,iron,0.026,0,32,43,9.060351,20.21004685
coal,mine,0.115,0.041,32,59,19.047619,19.69458084
coal,miner,0.051,0.5,32,1,21.207109,21.19865824
coal,oil,0.038,0,32,93,14.697669,12.88004795
coast,beach,0.103,0.012,61,61,8.476372,8.400162271
coast,border,0.024,0.012,61,20,17.396145,21.56646947
coast,california,0.012,0.02,61,65,18.928639,21.05100346
coast,florida,0.012,0,61,20,20.102119,21.42248811
coast,guard,0.073,0,61,48,16.714302,20.52215933
coast,island,0.012,0,61,167,14.58385,14.45480482
coast,land,0.024,0,61,217,13.705577,19.2257213
coast,line,0.024,0,61,298,12.067821,18.18426743
coast,ocean,0.085,0,61,34,17.771775,17.83346723
coast,sand,0.012,0,61,28,18.447121,20.49753931
coast,sea,0.061,0,61,95,18.146186,18.04999554
coast,shore,0.067,0.02,61,61,0.601128,0.687177014
coast,soap,0.103,0,61,22,19.837727,19.72764171
coast,water,0.055,0,61,442,14.752526,14.71955869
coast,west,0.036,0,61,235,16.749297,20.15718559
coat,clothes,0.014,0,43,89,3.175783,6.432764108
coat,fur,0.027,0.324,43,13,1.423473,1.360976553
coat,hat,0.162,0.103,43,56,6.43857,17.20898914
coat,jacket,0.176,0.564,43,33,0.898816,0.8844643
coat,mink,0.014,0.517,43,5,3.258093,3.357394759
coat,paint,0.014,0,43,37,0.690086,0.694201477
coat,rain,0.047,0.019,43,70,15.78532,19.78533709
coat,sweater,0.027,0.041,43,14,6.905219,6.767658944
coat,winter,0.061,0,43,83,16.989467,19.33121749
cob,corn,0.882,0.326,0,34,7.262111,20.55634743
cob,web,0.013,0,0,6,23.119784,25.89305956
cobbler,cake,0.014,0,0,13,7.53784,6.943860594
cobbler,cherry,0.027,0,0,6,14.406523,23.55768465
cobbler,dessert,0.041,0,0,7,15.465273,12.17211781
cobbler,food,0.014,0,0,147,8.328961,12.73307829
cobbler,fruit,0.027,0,0,35,18.963098,24.54751102
cobbler,peach,0.25,0,0,3,15.559359,18.26994204
cobbler,pie,0.115,0,0,14,3.676295,3.349904087
cobbler,shoe,0.149,0,0,14,20.641539,21.54860353
cobbler,stone,0.041,0,0,58,11.948573,11.46590435
cobra,danger,0.02,0,3,70,20.553295,20.06020004
cobra,king,0.014,0,3,88,15.929655,20.19096443
cobra,poison,0.027,0,3,10,22.62597,21.61639344
cobra,snake,0.831,0,3,44,3.43105,3.438011355
cobra,venom,0.014,0,3,2,23.336134,23.99593958
cobweb,spider,0.849,0,1,2,24.523629,23.54669943
cocaine,addict,0.02,0.04,1,1,14.25659,14.17689778
cocaine,addiction,0.02,0.055,1,3,19.733596,19.48215083
cocaine,death,0.02,0,1,277,16.163445,17.00281523
cocaine,dope,0.013,0,1,2,5.935669,1.954653899
cocaine,drug,0.25,0.068,1,24,2.474831,2.74268346
cocaine,nose,0.02,0,1,60,17.128274,17.17964191
cocaine,pot,0.033,0,1,33,5.935669,1.954653899
cocaine,powder,0.02,0.014,1,33,7.647833,18.12410352
cocaine,white,0.02,0,1,365,11.985952,12.46171481
cocktail,alcohol,0.093,0,25,13,2.588307,2.555709477
cocktail,bar,0.027,0,25,82,16.467682,20.75726112
cocktail,beer,0.02,0,25,34,5.553088,4.551803165
cocktail,dress,0.013,0,25,67,17.544475,19.64211953
cocktail,glass,0.02,0,25,99,14.585977,18.34274889
cocktail,liquor,0.02,0,25,43,3.879111,9.905133512
cocktail,movie,0.02,0,25,29,18.409426,18.02621511
cocktail,party,0.033,0,25,216,13.792913,18.80660037
cocktail,shrimp,0.027,0.084,25,2,18.337857,17.78575836
cocktail,umbrella,0.013,0,25,8,20.992086,22.28665633
cocoon,animal,0.026,0,3,68,16.006915,15.77640588
cocoon,bug,0.013,0,3,4,22.383383,22.44808714
cocoon,caterpillar,0.052,0,3,1,21.647364,21.81209838
cocoon,moth,0.046,0.012,3,1,20.762395,20.47092445
cocoon,movie,0.137,0,3,29,21.493821,21.16170933
cocoon,nest,0.039,0,3,20,14.964012,14.83978337
cocoon,shell,0.026,0,3,22,14.529815,19.73634008
cocoon,worm,0.026,0,3,4,21.647364,21.40663327
cod,cape,0.046,0.052,6,20,20.480472,20.47092445
cod,cash,0.026,0,6,36,19.439747,24.29157765
cod,fish,0.576,0.036,6,35,5.126339,11.38976019
cod,liver,0.013,0,6,16,12.668812,12.72726439
cod,mail,0.046,0,6,47,16.97764,22.51433504
cod,money,0.04,0,6,265,21.057508,21.27036629
cod,number,0.013,0,6,472,10.904888,21.39228523
code,alarm,0.02,0,40,16,11.980926,14.86711481
code,area,0.013,0,40,323,11.505229,14.02886827
code,army,0.013,0,40,132,16.303639,19.61641509
code,bar,0.02,0,40,82,4.30641,7.873600076
code,blue,0.033,0,40,143,13.415796,19.56197989
code,computer,0.046,0,40,13,15.971379,15.47811517
code,dress,0.013,0,40,67,15.719563,19.36977357
code,mystery,0.013,0,40,39,9.184845,9.143945097
code,name,0.026,0,40,294,10.13202,13.05111923
code,number,0.059,0,40,472,8.429571,12.95345279
code,pattern,0.013,0,40,113,11.529504,16.73580332
code,red,0.039,0,40,197,12.988362,19.36432396
code,word,0.112,0,40,274,6.405042,8.400844778
coffee,bean,0.046,0,78,5,5.143133,5.146920094
coffee,beverage,0.015,0,78,9,2.855209,3.375136079
coffee,caffeine,0.076,0.493,78,0,20.291384,17.48347749
coffee,cream,0.081,0.081,78,20,13.45388,19.30297747
coffee,cup,0.051,0.105,78,45,6.175546,20.52962763
coffee,milk,0.041,0,78,49,6.02279,7.009380858
coffee,morning,0.025,0.034,78,211,16.524829,19.24379161
coffee,sugar,0.01,0.047,78,34,12.832687,20.36228527
coffee,table,0.02,0,78,198,9.993804,15.69328881
coffee,tea,0.442,0.369,78,28,6.821282,7.838073531
coffin,burial,0.026,0.024,7,11,24.326757,24.07490661
coffin,death,0.377,0,7,277,20.081934,20.83343096
coffin,dracula,0.013,0,7,0,27.622783,26.71396394
coffin,grave,0.026,0.011,7,33,15.211439,20.56842489
coffin,nail,0.013,0,7,6,16.521006,16.23397502
coffin,tomb,0.019,0.016,7,11,20.967438,20.56842489
coffin,vampire,0.013,0,7,1,26.929499,26.02081676
coin,bill,0.012,0,10,133,2.577625,11.05721557
coin,dime,0.024,0.036,10,4,4.912653,4.838044022
coin,dollar,0.048,0,10,46,2.233594,1.998315997
coin,machine,0.018,0,10,103,8.49055,15.18192058
coin,money,0.436,0.019,10,265,2.795639,3.44947689
coin,nickel,0.073,0.091,10,7,4.555975,4.637373326
coin,penny,0.152,0.04,10,25,1.480975,1.558805047
coin,quarter,0.03,0.034,10,34,2.966743,2.876385516
coin,silver,0.024,0.013,10,29,16.066064,18.70929479
coke,diet,0.043,0.014,4,21,15.361927,16.99463077
coke,drug,0.036,0.014,4,24,2.474831,16.9218651
coke,pepsi,0.314,0,4,0,3.871198,3.33220451
coke,smile,0.029,0,4,58,18.170585,18.05070461
coke,soda,0.157,0.192,4,3,3.151075,3.198256538
coleslaw,barbecue,0.013,0,0,13,12.115191,11.6612081
coleslaw,cabbage,0.124,0.043,0,4,21.864614,18.91422361
coleslaw,chicken,0.111,0,0,37,20.485926,17.64855724
coleslaw,fish,0.013,0,0,35,20.554985,17.62323943
coleslaw,food,0.098,0,0,147,11.068681,13.42622547
coleslaw,hamburger,0.026,0,0,10,12.482836,19.52035941
coleslaw,lettuce,0.046,0,0,0,23.311653,19.92582452
coleslaw,mayonnaise,0.033,0,0,2,20.345466,16.79316134
coleslaw,picnic,0.02,0,0,15,17.743395,12.92940209
coleslaw,potato,0.026,0,0,15,21.562412,24.79444727
coleslaw,salad,0.111,0,0,9,3.610917,3.401197382
coleslaw,white,0.013,0,0,365,22.547914,21.98103656
collar,blouse,0.011,0,17,1,17.965255,17.63139738
collar,blue,0.033,0,17,143,16.078721,15.9529666
collar,bone,0.049,0,17,33,18.607421,18.37120031
collar,button,0.022,0,17,10,16.471751,22.63488685
collar,dog,0.201,0,17,75,16.341471,20.95134097
collar,flea,0.022,0.032,17,2,21.766575,22.35028645
collar,neck,0.043,0.036,17,81,16.504374,16.44181332
collar,ring,0.016,0,17,47,3.153182,3.119005807
collar,shirt,0.342,0.032,17,27,17.260127,17.11345429
collar,sleeve,0.016,0,17,11,15.778595,15.42233835
collar,starch,0.011,0.048,17,4,22.136627,21.64456432
collar,white,0.043,0,17,365,15.305966,15.25981942
college,degree,0.021,0.164,267,125,14.65545,15.2846375
college,education,0.07,0.068,267,214,10.207206,17.14110392
college,fun,0.021,0,267,44,17.614627,19.42094626
college,life,0.042,0,267,715,14.274702,16.81349914
college,money,0.014,0,267,265,17.194835,17.56976337
college,professor,0.014,0.036,267,57,16.62234,18.95094263
college,school,0.238,0.112,267,492,2.59689,2.664958602
college,student,0.035,0.046,267,131,14.087086,16.60366919
college,study,0.091,0,267,246,9.837291,17.32631456
college,university,0.105,0.257,267,214,4.310716,4.391195782
college,work,0.056,0,267,760,10.360225,14.3075809
cologne,face,0.014,0,9,371,13.426423,20.74084853
cologne,fragrance,0.021,0.014,9,6,23.474178,23.31276656
cologne,man,0.071,0,9,1207,12.2423,17.66443773
cologne,perfume,0.457,0.221,9,10,1.332227,1.410986974
cologne,scent,0.043,0,9,6,22.462824,22.25539723
colonel,army,0.303,0,37,132,20.210594,20.00355157
colonel,captain,0.069,0,37,85,6.887574,6.939122826
colonel,leader,0.014,0,37,74,10.704575,10.98147683
colonel,lieutenant,0.034,0.068,37,29,7.980209,7.919952079
colonel,officer,0.014,0,37,101,4.05724,14.06307039
colonel,rank,0.021,0.027,37,24,17.204597,21.56646947
colonel,sergeant,0.076,0,37,25,8.31926,8.344599053
colonel,war,0.021,0,37,464,19.142053,19.00326989
color,blue,0.215,0.043,141,143,1.948467,16.67096744
color,green,0.04,0.035,141,116,2.784422,16.99000005
color,hue,0.02,0.547,141,1,5.423493,20.94763356
color,pink,0.047,0.054,141,48,2.746129,10.7955308
color,purple,0.154,0.206,141,13,3.428591,18.46272691
color,rainbow,0.027,0.357,141,4,13.387598,19.46882775
color,red,0.242,0.047,141,197,2.074598,2.049153622
color,shade,0.034,0.172,141,28,2.986697,2.945997219
color,white,0.013,0.017,141,365,1.864649,11.90342319
color,yellow,0.013,0.054,141,55,2.817711,17.04229955
colt,baby,0.016,0,18,62,2.998663,16.18446826
colt,gun,0.016,0,18,118,3.705048,18.31114439
colt,horse,0.654,0.024,18,117,8.846113,17.97756008
colt,mare,0.016,0.021,18,16,12.345069,12.71228778
colt,pony,0.134,0.024,18,10,12.292412,12.86643846
column,building,0.028,0,71,160,7.668829,7.360974847
column,greek,0.028,0,71,61,14.495905,16.92219163
column,house,0.014,0,71,591,9.198278,12.1489444
column,line,0.042,0,71,298,1.787984,6.764588531
column,list,0.021,0.028,71,133,12.227929,19.05453532
column,mansion,0.014,0,71,8,10.878197,17.35422442
column,newspaper,0.264,0,71,65,9.911883,13.06903529
column,paper,0.028,0,71,157,3.514296,13.06903529
column,pole,0.014,0,71,18,12.280034,14.05044929
column,post,0.014,0,71,84,1.747351,1.737567887
column,row,0.153,0.049,71,35,4.27323,4.218982068
column,section,0.014,0,71,189,7.092349,18.88220232
column,support,0.014,0,71,180,3.414986,12.40661123
column,word,0.021,0,71,274,11.660312,18.22442228
column,writer,0.021,0,71,73,12.416037,12.55521125
coma,death,0.122,0,1,277,13.166904,14.37818604
coma,hospital,0.082,0,1,110,22.262294,22.74883111
coma,medicine,0.02,0,1,30,20.710794,20.45803943
coma,period,0.075,0,1,265,14.739262,22.72161855
coma,punctuation,0.027,0,1,2,21.685388,21.53524945
coma,rest,0.014,0,1,163,16.011528,15.85821288
coma,sleep,0.259,0,1,65,16.011528,16.96845321
comb,brush,0.636,0.163,6,44,1.995379,2.00863634
comb,hair,0.315,0.152,6,148,6.645666,19.86480126
combination,code,0.014,0,57,40,15.333425,16.96912048
combination,food,0.027,0,57,147,12.565971,19.34264619
combination,lock,0.169,0,57,23,14.539533,20.91790619
combination,mixture,0.182,0.149,57,30,2.186978,2.321699489
combination,salad,0.014,0,57,9,20.023628,21.36685641
combination,two,0.054,0,57,1412,15.260652,15.0720266
comedian,actor,0.027,0.014,5,24,2.982084,2.737843216
comedian,comedy,0.013,0.014,5,39,18.810429,22.71492956
comedian,joke,0.047,0,5,22,18.24651,18.63583965
comedian,joker,0.013,0,5,1,6.414286,6.227524324
comedy,club,0.034,0,39,145,18.584942,18.25478515
comedy,comedian,0.014,0.013,39,5,18.810429,22.71492956
comedy,drama,0.055,0.048,39,43,1.09524,1.047318994
comedy,fun,0.014,0,39,44,2.260623,2.302585093
comedy,humor,0.082,0.049,39,47,2.869613,2.939290963
comedy,joke,0.021,0,39,22,4.870612,18.72579466
comedy,movie,0.014,0.01,39,29,13.79006,13.54190432
comedy,routine,0.014,0,39,35,13.271929,21.12569436
comedy,tragedy,0.027,0.035,39,49,2.180431,2.12853954
comet,meteor,0.041,0.048,2,3,26.130811,2.237070486
comet,planet,0.014,0,2,21,11.289867,11.01755636
comet,ray,0.014,0,2,19,14.941876,14.49494288
comet,sky,0.048,0,2,58,20.978874,20.45933756
comet,space,0.178,0,2,184,18.375935,21.86051423
comet,speed,0.014,0,2,83,21.129588,20.02376265
comet,star,0.164,0,2,25,12.127239,11.75410285
comet,tail,0.014,0,2,24,18.540836,18.24384324
comet,universe,0.014,0,2,71,11.17918,10.9440691
comma,mark,0.034,0,2,83,6.651811,6.597145702
comma,period,0.407,0.079,2,265,5.959973,5.925432248
comma,punctuation,0.103,0.046,2,2,5.83189,5.784850298
comma,sentence,0.028,0,2,34,17.254469,16.61147204
commander,army,0.104,0,28,132,20.287268,20.33076448
commander,boss,0.039,0,28,20,10.631625,12.15163908
commander,captain,0.013,0,28,85,2.704347,2.640858952
commander,chief,0.338,0,28,119,7.914774,7.612608694
commander,head,0.013,0,28,424,7.914774,7.612608694
commander,leader,0.117,0.014,28,74,6.100127,6.059424627
commander,lieutenant,0.045,0,28,29,3.920016,3.795351699
commander,navy,0.013,0,28,37,21.718356,21.72662829
commander,officer,0.026,0,28,101,4.134213,4.08750303
commander,pilot,0.013,0,28,44,9.424005,11.0903313
commander,ruler,0.026,0,28,3,13.239246,13.66402854
commander,sergeant,0.013,0,28,25,8.396235,17.27574105
commander,ship,0.019,0,28,83,16.754909,16.63611483
commander,soldier,0.019,0,28,39,6.932986,7.317987977
comment,advice,0.013,0.01,42,51,9.165651,9.031621968
comment,answer,0.026,0,42,152,5.620725,7.036507368
comment,card,0.039,0,42,26,11.209506,11.91246751
comment,idea,0.02,0,42,195,12.581307,16.79827836
