word,associates,part no,number_assoc,ospan,math,strict,ravens,zero_slope
assist,3,p23,1,63,85,41,22,0
bashful,4,p23,1,63,85,41,22,0
before,4,p23,1,63,85,41,22,0
beginning,4,p23,1,63,85,41,22,0
blow,23,p23,1,63,85,41,22,0
body,31,p23,1,63,85,41,22,0
bouquet,3,p23,1,63,85,41,22,0
break,26,p23,1,63,85,41,22,0
bum,21,p23,1,63,85,41,22,0
car,25,p23,1,63,85,41,22,0
casual,20,p23,1,63,85,41,22,0
challenge,21,p23,1,63,85,41,22,0
chauffeur,5,p23,1,63,85,41,22,0
chowder,4,p23,1,63,85,41,22,0
cinema,4,p23,1,63,85,41,22,0
closed,5,p23,1,63,85,41,22,0
cloth,21,p23,1,63,85,41,22,0
common,23,p23,1,63,85,41,22,0
computer,33,p23,1,63,85,41,22,0
corpse,3,p23,1,63,85,41,22,0
dancer,23,p23,1,63,85,41,22,0
dangerous,22,p23,1,63,85,41,22,0
difficult,3,p23,1,63,85,41,22,0
melody,5,p23,1,63,85,41,22,0
meow,3,p23,1,63,85,41,22,0
organize,23,p23,1,63,85,41,22,0
patience,21,p23,1,63,85,41,22,0
peaceful,20,p23,1,63,85,41,22,0
pupil,4,p23,1,63,85,41,22,0
racket,3,p23,1,63,85,41,22,0
assist,3,p24,2,58,96,41,17,3
bashful,4,p24,2,58,96,41,17,3
before,4,p24,2,58,96,41,17,3
beginning,4,p24,2,58,96,41,17,3
blow,23,p24,2,58,96,41,17,3
body,31,p24,2,58,96,41,17,3
bouquet,3,p24,2,58,96,41,17,3
break,26,p24,2,58,96,41,17,3
bum,21,p24,2,58,96,41,17,3
car,25,p24,2,58,96,41,17,3
casual,20,p24,2,58,96,41,17,3
challenge,21,p24,2,58,96,41,17,3
chauffeur,5,p24,2,58,96,41,17,3
chowder,4,p24,2,58,96,41,17,3
cinema,4,p24,2,58,96,41,17,3
closed,5,p24,2,58,96,41,17,3
cloth,21,p24,2,58,96,41,17,3
common,23,p24,2,58,96,41,17,3
computer,33,p24,2,58,96,41,17,3
corpse,3,p24,2,58,96,41,17,3
dancer,23,p24,2,58,96,41,17,3
dangerous,22,p24,2,58,96,41,17,3
difficult,3,p24,2,58,96,41,17,3
melody,5,p24,2,58,96,41,17,3
meow,3,p24,2,58,96,41,17,3
organize,23,p24,2,58,96,41,17,3
patience,21,p24,2,58,96,41,17,3
peaceful,20,p24,2,58,96,41,17,3
pupil,4,p24,2,58,96,41,17,3
racket,3,p24,2,58,96,41,17,3
assist,3,p25,1,43,68,26,11,1
bashful,4,p25,2,43,68,26,11,1
before,4,p25,1,43,68,26,11,1
beginning,4,p25,1,43,68,26,11,1
blow,23,p25,1,43,68,26,11,1
body,31,p25,1,43,68,26,11,1
bouquet,3,p25,1,43,68,26,11,1
break,26,p25,1,43,68,26,11,1
bum,21,p25,1,43,68,26,11,1
car,25,p25,1,43,68,26,11,1
casual,20,p25,1,43,68,26,11,1
challenge,21,p25,1,43,68,26,11,1
chauffeur,5,p25,1,43,68,26,11,1
chowder,4,p25,1,43,68,26,11,1
cinema,4,p25,1,43,68,26,11,1
closed,5,p25,1,43,68,26,11,1
cloth,21,p25,1,43,68,26,11,1
common,23,p25,1,43,68,26,11,1
computer,33,p25,1,43,68,26,11,1
corpse,3,p25,1,43,68,26,11,1
dancer,23,p25,1,43,68,26,11,1
dangerous,22,p25,1,43,68,26,11,1
difficult,3,p25,1,43,68,26,11,1
melody,5,p25,1,43,68,26,11,1
meow,3,p25,1,43,68,26,11,1
organize,23,p25,1,43,68,26,11,1
patience,21,p25,1,43,68,26,11,1
peaceful,20,p25,1,43,68,26,11,1
pupil,4,p25,1,43,68,26,11,1
racket,3,p25,1,43,68,26,11,1
assist,3,p26,1,63,97,41,16,1
bashful,4,p26,1,63,97,41,16,1
before,4,p26,1,63,97,41,16,1
beginning,4,p26,1,63,97,41,16,1
blow,23,p26,1,63,97,41,16,1
body,31,p26,1,63,97,41,16,1
bouquet,3,p26,2,63,97,41,16,1
break,26,p26,1,63,97,41,16,1
bum,21,p26,1,63,97,41,16,1
car,25,p26,1,63,97,41,16,1
casual,20,p26,1,63,97,41,16,1
challenge,21,p26,1,63,97,41,16,1
chauffeur,5,p26,1,63,97,41,16,1
chowder,4,p26,1,63,97,41,16,1
cinema,4,p26,1,63,97,41,16,1
closed,5,p26,1,63,97,41,16,1
cloth,21,p26,1,63,97,41,16,1
common,23,p26,1,63,97,41,16,1
computer,33,p26,1,63,97,41,16,1
corpse,3,p26,1,63,97,41,16,1
dancer,23,p26,1,63,97,41,16,1
dangerous,22,p26,1,63,97,41,16,1
difficult,3,p26,1,63,97,41,16,1
melody,5,p26,1,63,97,41,16,1
meow,3,p26,1,63,97,41,16,1
organize,23,p26,1,63,97,41,16,1
patience,21,p26,1,63,97,41,16,1
peaceful,20,p26,1,63,97,41,16,1
pupil,4,p26,1,63,97,41,16,1
racket,3,p26,1,63,97,41,16,1
assist,3,p27,1,#N/A,#N/A,#N/A,#N/A,1
bashful,4,p27,1,#N/A,#N/A,#N/A,#N/A,1
before,4,p27,1,#N/A,#N/A,#N/A,#N/A,1
beginning,4,p27,1,#N/A,#N/A,#N/A,#N/A,1
blow,23,p27,1,#N/A,#N/A,#N/A,#N/A,1
body,31,p27,1,#N/A,#N/A,#N/A,#N/A,1
bouquet,3,p27,2,#N/A,#N/A,#N/A,#N/A,1
break,26,p27,1,#N/A,#N/A,#N/A,#N/A,1
bum,21,p27,1,#N/A,#N/A,#N/A,#N/A,1
car,25,p27,1,#N/A,#N/A,#N/A,#N/A,1
casual,20,p27,1,#N/A,#N/A,#N/A,#N/A,1
challenge,21,p27,1,#N/A,#N/A,#N/A,#N/A,1
chauffeur,5,p27,1,#N/A,#N/A,#N/A,#N/A,1
chowder,4,p27,1,#N/A,#N/A,#N/A,#N/A,1
cinema,4,p27,1,#N/A,#N/A,#N/A,#N/A,1
closed,5,p27,1,#N/A,#N/A,#N/A,#N/A,1
cloth,21,p27,1,#N/A,#N/A,#N/A,#N/A,1
common,23,p27,1,#N/A,#N/A,#N/A,#N/A,1
computer,33,p27,1,#N/A,#N/A,#N/A,#N/A,1
corpse,3,p27,1,#N/A,#N/A,#N/A,#N/A,1
dancer,23,p27,1,#N/A,#N/A,#N/A,#N/A,1
dangerous,22,p27,1,#N/A,#N/A,#N/A,#N/A,1
difficult,3,p27,1,#N/A,#N/A,#N/A,#N/A,1
melody,5,p27,1,#N/A,#N/A,#N/A,#N/A,1
meow,3,p27,1,#N/A,#N/A,#N/A,#N/A,1
organize,23,p27,1,#N/A,#N/A,#N/A,#N/A,1
patience,21,p27,1,#N/A,#N/A,#N/A,#N/A,1
peaceful,20,p27,1,#N/A,#N/A,#N/A,#N/A,1
pupil,4,p27,1,#N/A,#N/A,#N/A,#N/A,1
racket,3,p27,1,#N/A,#N/A,#N/A,#N/A,1
assist,3,p32,1,49,96,21,0,1
bashful,4,p32,1,49,96,21,0,1
